box_id,candidate_count,covered,reason
S001-FOD-01,3283,True,HAS_CANDIDATE
S001-FOD-02,3283,True,HAS_CANDIDATE
S001-FOD-03,3283,True,HAS_CANDIDATE
S001-HYG-01,3310,True,HAS_CANDIDATE
S001-HYG-02,3310,True,HAS_CANDIDATE
S001-MED-01,3392,True,HAS_CANDIDATE
S001-MED-02,3392,True,HAS_CANDIDATE
S001-WAT-01,3101,True,HAS_CANDIDATE
S001-WAT-02,3101,True,HAS_CANDIDATE
S001-WAT-03,3101,True,HAS_CANDIDATE
S001-WAT-04,3101,True,HAS_CANDIDATE
S001-WAT-05,3101,True,HAS_CANDIDATE
S001-WAT-06,3101,True,HAS_CANDIDATE
S001-WAT-07,3101,True,HAS_CANDIDATE
S001-WAT-08,3101,True,HAS_CANDIDATE
S002-FOD-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-FOD-02,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-HYG-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-MED-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-WAT-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-WAT-02,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-WAT-03,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S002-WAT-04,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-FOD-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-FOD-02,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-HYG-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-MED-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-WAT-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-WAT-02,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-WAT-03,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S003-WAT-04,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S004-FOD-01,432,True,HAS_CANDIDATE
S004-HYG-01,445,True,HAS_CANDIDATE
S004-MED-01,465,True,HAS_CANDIDATE
S004-WAT-01,371,True,HAS_CANDIDATE
S004-WAT-02,371,True,HAS_CANDIDATE
S004-WAT-03,371,True,HAS_CANDIDATE
S005-FOD-01,1104,True,HAS_CANDIDATE
S005-HYG-01,1141,True,HAS_CANDIDATE
S005-MED-01,1166,True,HAS_CANDIDATE
S005-WAT-01,1037,True,HAS_CANDIDATE
S005-WAT-02,1037,True,HAS_CANDIDATE
S005-WAT-03,1037,True,HAS_CANDIDATE
S006-FOD-01,856,True,HAS_CANDIDATE
S006-HYG-01,869,True,HAS_CANDIDATE
S006-MED-01,891,True,HAS_CANDIDATE
S006-WAT-01,777,True,HAS_CANDIDATE
S006-WAT-02,777,True,HAS_CANDIDATE
S006-WAT-03,777,True,HAS_CANDIDATE
S007-FOD-01,675,True,HAS_CANDIDATE
S007-HYG-01,696,True,HAS_CANDIDATE
S007-MED-01,711,True,HAS_CANDIDATE
S007-WAT-01,630,True,HAS_CANDIDATE
S007-WAT-02,630,True,HAS_CANDIDATE
S008-FOD-01,359,True,HAS_CANDIDATE
S008-HYG-01,367,True,HAS_CANDIDATE
S008-MED-01,385,True,HAS_CANDIDATE
S008-WAT-01,323,True,HAS_CANDIDATE
S008-WAT-02,323,True,HAS_CANDIDATE
S009-FOD-01,503,True,HAS_CANDIDATE
S009-MED-01,520,True,HAS_CANDIDATE
S009-WAT-01,481,True,HAS_CANDIDATE
S010-FOD-01,377,True,HAS_CANDIDATE
S010-MED-01,388,True,HAS_CANDIDATE
S010-WAT-01,364,True,HAS_CANDIDATE
S011-FOD-01,706,True,HAS_CANDIDATE
S011-MED-01,723,True,HAS_CANDIDATE
S011-WAT-01,684,True,HAS_CANDIDATE
S012-FOD-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S012-MED-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S012-WAT-01,0,False,NO_PHYSICALLY_VALID_GENERATED_CANDIDATE
S013-FOD-01,470,True,HAS_CANDIDATE
S013-MED-01,486,True,HAS_CANDIDATE
S013-WAT-01,449,True,HAS_CANDIDATE
S014-FOD-01,246,True,HAS_CANDIDATE
S014-MED-01,258,True,HAS_CANDIDATE
S014-WAT-01,231,True,HAS_CANDIDATE
S015-FOD-01,296,True,HAS_CANDIDATE
S015-MED-01,310,True,HAS_CANDIDATE
S015-WAT-01,278,True,HAS_CANDIDATE
